name,website,domain,email,phone,city,niche,score,https,mobile,reason
Orian Roofing And Construction,https://orianroofingmia.com/,orianroofingmia.com,orianroofingmia@gmail.com,+1-305-707-4457,Miami,trades,,,,
Miami RooterPRO,https://miamirooterpro.com/,miamirooterpro.com,info@miamirooterpro.com,+1-305-537-9402,Miami,trades,0,yes,yes,the site is dated and plain — a modern refresh would stand out
Home Solution Depot,https://homesolutiondepot.com,homesolutiondepot.com,homesolutiondepot@yahoo.com,+1-305-766-8807,Hialeah,trades,,,,
All Parts Usa.com,https://www.allpartsusa.com/,allpartsusa.com,sales@allpartsusa.com,+1-305-546-0376,Doral,trades,0,yes,yes,the site is dated and plain — a modern refresh would stand out
Homestead Glass Co,https://homesteadglass.com,homesteadglass.com,homesteadglass@att.net,+1 305-247-5025,Homestead,trades,2,yes,yes,the site looks unmaintained — the footer still shows 2012
Freezing Mechanical,https://freezingmechanical.com/,freezingmechanical.com,vfinalet@freezingmechanical.com,+1-305-363-7021,Miami Gardens,trades,0,yes,yes,the site is dated and plain — a modern refresh would stand out
Cowboy Pump & Supply,https://cowboypump.com/,cowboypump.com,rsmith@cowboypump.com,+13252355100,Sweetwater,trades,0,yes,yes,the site is dated and plain — a modern refresh would stand out
YSZE,https://www.atelier-ysze.com/,atelier-ysze.com,atelier.ysze@gmail.com,+33 6 80 43 86 68,Fontainebleau,trades,1,yes,yes,the site is dated and plain — a modern refresh would stand out
Atelier Du Siege,https://www.sylvielaury.com/,sylvielaury.com,laurysylvie@gmail.com,+33 6 81 95 64 24,Fontainebleau,trades,,,,
L'Atelier Automobile,https://www.latelierautomobile.com/,latelierautomobile.com,latelierautomobile77@gmail.com,+33 7 76 81 83 67,Fontainebleau,trades,,,,
Faded - A Window Tinting Company,https://fadedawtc.com,fadedawtc.com,immy@fadedawtc.com,+1-561-872-1311,Fort Lauderdale,trades,,,,
K2 Plumbing,https://k2plumbing.com/,k2plumbing.com,micah@micahrich.com,+1-954-929-4722,Hollywood,trades,1,yes,yes,the site is dated and plain — a modern refresh would stand out
